"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases","Unit","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",7,"Liguria",44.41149315,8.9326992,0,0,0,5,0,69,0,50,3,73,3,192,NA,"12.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",8,"Emilia-Romagna",44.49436681,11.3417208,0,0,3,15,2,12,1,11,20,152,23,175,NA,"3.5"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",9,"Tuscany",43.76923077,11.25588885,0,0,0,2,0,0,0,0,0,18,0,18,NA,"0.5"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,1,0,0,0,1,NA,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",11,"Marche",43.61675973,13.5188753,0,1,1,1,0,1,0,0,2,13,2,14,NA,"0.8"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",12,"Lazio",41.89277044,12.48366722,5,6,0,2,1,23,6,10,11,53,18,86,NA,"1.2"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",13,"Abruzzo",42.35122196,13.39843823,0,0,1,1,0,1,0,1,0,13,0,15,NA,"1.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,1,0,0,0,0,0,1,NA,"0.3"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",15,"Campania",40.83956555,14.25084984,0,0,1,1,0,4,1,2,1,7,2,13,NA,"0.2"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",16,"Apulia",41.12559576,16.86736689,-1,0,2,3,0,16,3,7,7,47,10,70,NA,"1.5"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0.0"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,0,0,1,0,11,0,12,NA,"0.6"
